,ID,Name,Japanese name,Type,Image,Trailer
0,1,Cowboy Bebop,カウボーイビバップ,TV,"<img src=""https://cdn.myanimelist.net/images/anime/4/19644.jpg"" />","<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/qig4KOK2R2g?enablejsapi=1&wmode=opaque&autoplay=1""></iframe>"
1,19,Monster,モンスター,TV,"<img src=""https://cdn.myanimelist.net/images/anime/10/18793.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
2,57,Beck,ベック,TV,"<img src=""https://cdn.myanimelist.net/images/anime/11/11636.jpg"" />","<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/8XR5l70WsrI?enablejsapi=1&wmode=opaque&autoplay=1""></iframe>"
3,121,Fullmetal Alchemist,鋼の錬金術師,TV,"<img src=""https://cdn.myanimelist.net/images/anime/10/75815.jpg"" />","<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/NR5HHcLPulc?enablejsapi=1&wmode=opaque&autoplay=1""></iframe>"
4,170,Slam Dunk,スラムダンク,TV,"<img src=""https://cdn.myanimelist.net/images/anime/12/86890.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
