,ID,Name,Japanese name,Type,Image,Trailer
0,9956,The Primitives: Bongo and Grunge,古惑香蕉頭,TV,"<img src=""https://cdn.myanimelist.net/images/anime/7/27551.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
1,10242,Ton-Ton Atta to Niigata no Mukashibanashi,トントンあったと にいがたの昔ばなし,TV,"<img src=""https://cdn.myanimelist.net/images/anime/9/28226.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
2,10633,Shiodome Cable TV,汐留ケーブルテレビ,TV,"<img src=""https://cdn.myanimelist.net/images/anime/8/29262.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
3,10706,Yasai no Yousei: N.Y.Salad 2nd Series,やさいのようせい N.Y.SALAD 2ndシリーズ,TV,"<img src=""https://cdn.myanimelist.net/images/anime/9/29511.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
4,12139,Wanpaku Tanteidan,わんぱく探偵団,TV,"<img src=""https://cdn.myanimelist.net/images/anime/10/59651.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
