,ID,Name,Japanese name,Type,Image,Trailer
0,19,Monster,モンスター,TV,"<img src=""https://cdn.myanimelist.net/images/anime/10/18793.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
1,245,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,TV,"<img src=""https://cdn.myanimelist.net/images/anime/13/11460.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
2,263,Hajime no Ippo,はじめの一歩 THE FIGHTING!,TV,"<img src=""https://cdn.myanimelist.net/images/anime/4/86334.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
3,918,Gintama,銀魂,TV,"<img src=""https://cdn.myanimelist.net/images/anime/10/73274.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
4,1535,Death Note,デスノート,TV,"<img src=""https://cdn.myanimelist.net/images/anime/9/9453.jpg"" />","<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/Vt_3c8BgxV4?enablejsapi=1&wmode=opaque&autoplay=1""></iframe>"
