,ID,Name,Japanese name,Type,Image,Trailer
0,20227,Yocchan no Biidama,よっちゃんのビー玉,Special,"<img src=""https://cdn.myanimelist.net/images/anime/9/53837.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
1,23633,Poppoya-san: Nonki Ekichou,ポッポやさん のんき駅長,Movie,"<img src=""https://cdn.myanimelist.net/images/anime/5/61211.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
2,26139,Kie Saranu Kizuato: Hi no Umi Osaka,消えさらぬ傷あと 火の海・大阪,OVA,"<img src=""https://cdn.myanimelist.net/images/anime/13/66029.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
3,34163,Tsubuyaki-tai,つぶやき隊,ONA,"<img src=""https://cdn.myanimelist.net/images/anime/11/82169.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
4,38094,Kkaemo-ui Moheom,깨모의 모험,TV,"<img src=""https://cdn.myanimelist.net/images/anime/1264/93287.jpg"" />","<iframe width=""420"" height=""315"" src=""None""></iframe>"
